instance,status,time,makespan,branches,conflicts
ft06,OPTIMAL,0.01226496696472168,55,82,0
ft10,OPTIMAL,3.4297616481781006,930,884,0
abz6,OPTIMAL,0.17060089111328125,943,476,0
la27,OPTIMAL,9.13474702835083,1235,4479,50
ta31,FEASIBLE,300.049369096756,1766,17879,0
