instance,status,time,makespan,branches,conflicts
ft06,LNS_OPTIMIZED,300.0013039112091,55,245637,0
ft10,LNS_OPTIMIZED,300.00075912475586,930,91916,0
abz6,LNS_OPTIMIZED,300.0026161670685,943,94716,0
la27,LNS_OPTIMIZED,300.00158500671387,1298,44943,27
ta31,LNS_OPTIMIZED,300.001079082489,1982,17353,31
