instance,status,time,makespan,branches,conflicts
ft06,OPTIMAL,0.011764049530029297,55,4,0
ft10,OPTIMAL,18.76828908920288,930,900,0
abz6,OPTIMAL,0.3282029628753662,943,584,0
la27,FEASIBLE,300.052551984787,1237,5054,50
ta31,FEASIBLE,300.06676197052,1824,18106,0
