instance,status,time,makespan,branches,conflicts
ft06,LNS_OPTIMIZED,300.0013029575348,55,89572,0
ft10,LNS_OPTIMIZED,300.0043168067932,930,64448,0
abz6,LNS_OPTIMIZED,300.0014886856079,943,63182,0
la27,LNS_OPTIMIZED,300.00591492652893,1265,35808,0
ta31,LNS_OPTIMIZED,300.0035572052002,1984,15138,1
